"fips","0-4","5-24","25-49","50-64","65+"
1,33,132,234,95,69
3,11,42,40,22,18
5,62,240,274,143,108
7,13,60,65,60,55
9,10,27,29,18,13
11,10,10,10,10,10
13,32,140,138,75,46
15,18,77,83,55,39
17,10,19,17,11,10
19,10,51,58,49,35
21,50,208,262,133,70
23,10,10,10,10,10
25,21,95,135,44,36
27,265,784,1109,361,231
29,1276,4745,5660,2481,1632
31,10,23,28,22,15
33,10,10,10,10,10
35,11,47,51,37,37
37,60,238,331,174,130
39,219,859,1088,502,265
41,114,710,560,194,116
43,10,27,27,18,14
45,10,10,10,10,10
47,10,25,21,13,11
49,26,108,114,72,66
51,13,50,53,36,30
53,25,107,125,90,78
55,27,104,127,58,42
57,16,61,65,37,30
59,10,37,39,28,25
61,423,1306,1219,526,439
63,10,36,38,23,22
65,10,18,18,13,11
67,18,79,86,64,58
69,10,25,21,13,10
71,20,101,115,62,31
73,35,139,156,86,72
75,10,22,27,12,12
77,10,29,33,24,19
79,10,11,10,10,10
81,10,10,10,10,10
83,10,22,23,17,19
85,511,2104,3078,1175,446
87,10,10,10,10,10
89,15,58,62,42,40
91,63,282,338,227,151
93,10,38,39,27,29
95,10,10,17,10,10
97,26,114,121,76,63
99,44,248,344,82,46
101,10,10,10,10,10
103,10,12,11,10,10
105,10,12,11,10,10
107,10,20,18,11,10
109,10,10,10,10,10
111,10,20,21,10,10
113,2049,6814,9579,3362,1845
115,11,40,46,24,20
117,18,63,55,29,22
119,10,14,16,11,10
121,456,1660,2818,890,326
123,13,51,65,37,37
125,10,10,10,10,10
127,10,33,28,17,13
129,10,10,11,10,10
131,10,39,38,20,18
133,12,47,49,36,39
135,117,397,419,206,144
137,10,10,10,10,10
139,108,446,500,244,129
141,720,2375,2606,1043,731
143,24,123,110,53,42
145,11,54,54,31,28
147,20,94,112,63,55
149,14,60,66,51,49
151,10,10,11,10,10
153,10,23,20,12,12
155,10,10,10,10,10
157,317,1659,1791,1012,329
159,10,27,29,22,22
161,12,51,63,37,32
163,13,51,55,26,18
165,14,52,45,23,17
167,205,791,997,541,321
169,10,14,16,10,10
171,12,54,57,56,63
173,10,10,10,10,10
175,10,20,20,15,13
177,15,56,58,32,31
179,14,60,71,40,41
181,80,314,392,224,176
183,91,335,395,203,159
185,17,65,82,50,35
187,72,354,399,208,131
189,31,115,114,51,44
191,10,11,10,10,10
193,10,22,22,17,19
195,10,15,15,10,10
197,10,12,12,10,10
199,32,149,166,97,67
201,3359,11376,15367,5895,2917
203,40,182,209,125,85
205,10,13,22,11,10
207,10,14,13,11,14
209,93,447,525,226,107
211,10,10,10,10,10
213,48,201,234,160,148
215,789,2535,2376,860,640
217,25,97,103,68,60
219,18,68,70,37,29
221,27,120,145,112,98
223,24,94,105,63,54
225,13,58,74,47,43
227,22,82,117,59,47
229,10,12,10,10,10
231,57,234,294,149,104
233,16,65,67,45,35
235,10,10,10,10,10
237,10,25,29,15,14
239,11,42,45,27,23
241,24,94,109,68,57
243,10,10,10,10,10
245,171,710,862,407,310
247,10,16,15,10,10
249,34,134,124,68,53
251,108,473,537,265,161
253,11,60,71,32,29
255,10,40,61,24,20
257,68,291,338,166,101
259,17,89,93,74,45
261,10,10,10,10,10
263,10,10,10,10,10
265,27,113,119,94,123
267,10,11,12,10,10
269,10,10,10,10,10
271,10,10,10,10,10
273,25,92,108,45,34
275,10,11,10,10,10
277,33,136,154,93,82
279,12,44,40,24,24
281,14,58,68,38,31
283,10,19,18,10,10
285,12,50,53,39,41
287,12,52,54,31,24
289,10,39,42,35,35
291,53,229,280,131,80
293,14,59,70,42,36
295,10,10,10,10,10
297,10,28,41,25,20
299,10,37,41,44,61
301,10,10,10,10,10
303,201,843,883,388,287
305,10,19,17,10,10
307,10,22,21,16,17
309,173,703,766,341,275
311,10,10,10,10,10
313,10,40,46,23,20
315,10,24,29,25,24
317,10,16,14,10,10
319,10,10,10,10,10
321,28,113,114,66,48
323,52,193,156,73,52
325,29,136,141,79,54
327,10,10,10,10,10
329,103,383,401,221,149
331,18,73,73,47,43
333,10,14,12,12,12
335,10,25,34,17,14
337,13,49,54,40,42
339,285,1254,1472,774,387
341,17,67,64,29,21
343,10,35,37,27,25
345,10,10,10,10,10
347,42,231,174,102,78
349,36,146,158,83,66
351,10,40,43,29,22
353,11,42,43,27,24
355,259,951,1120,526,343
357,10,30,29,15,11
359,10,10,10,10,10
361,52,242,268,161,118
363,19,78,83,53,46
365,15,62,69,48,39
367,62,320,374,210,123
369,10,33,29,15,13
371,12,52,56,26,19
373,27,115,138,93,90
375,110,351,446,179,131
377,10,27,22,13,11
379,10,26,30,26,20
381,65,336,403,211,141
383,10,11,10,10,10
385,10,10,10,10,10
387,10,35,40,27,27
389,10,34,36,19,16
391,10,20,22,14,13
393,10,10,10,10,10
395,11,46,44,31,28
397,47,227,256,130,63
399,10,31,29,20,21
401,31,130,152,94,77
403,10,22,25,23,28
405,10,22,24,19,20
407,14,67,73,57,45
409,57,227,233,106,71
411,10,17,16,12,12
413,10,10,10,10,10
415,12,44,52,29,25
417,10,10,10,10,10
419,19,72,78,46,42
421,10,10,10,10,10
423,146,563,640,343,282
425,10,24,25,16,10
427,73,231,192,75,56
429,10,26,28,18,18
431,10,10,10,10,10
433,10,10,10,10,10
435,10,12,12,10,10
437,10,24,24,13,13
439,1394,4999,6531,2680,1395
441,104,357,473,195,155
443,10,10,10,10,10
445,10,36,38,19,18
447,10,10,10,10,10
449,26,96,99,46,38
451,78,301,347,168,139
453,725,2551,4171,1398,628
455,10,34,37,30,34
457,12,54,66,40,40
459,24,106,114,73,57
461,10,10,10,10,10
463,23,83,76,40,35
465,44,153,152,71,57
467,31,143,151,104,93
469,70,261,286,146,103
471,31,210,245,94,63
473,27,139,129,62,32
475,10,31,29,18,16
477,21,89,100,63,52
479,295,824,827,268,168
481,32,127,133,73,57
483,10,13,13,11,10
485,93,389,457,198,163
487,10,43,44,25,22
489,20,71,65,30,25
491,262,1126,1467,539,312
493,25,125,132,79,45
495,10,20,20,12,10
497,37,177,196,103,63
499,22,92,111,94,100
501,10,23,22,13,10
503,12,49,51,35,36
505,13,48,42,20,19
507,10,41,36,18,13